,id,escolas_postos,bairro,endereço,lat,lon,numero,tipo_da_escola
34,660,E.M NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,"RUA CIRNE MAIA,",-22.89203,-43.27992,109,EM
35,382,EM SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS,-22.98155,-43.21702,S/NDEG,EM
36,217,EM ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARA,-22.88133,-43.29409,6742,EM
37,378,EM BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA,-22.90627,-43.30791,S/NO,EM
38,429,EM FELIX PACHECO,PIEDADE,"RUA ASSIS CARNEIRO,",-22.89508,-43.31382,649,EM
39,025,ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,RUA ANA,-22.9007,-43.2554,NERI,EM
40,660,E.M NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,"RUA CIRNE MAIA,",-22.89203,-43.27992,109,EM
41,373,EM PROFESSOR AUGUSTO PAULINO,MEIER,RUA CONEGO TOBIAS,-22.90416,-43.28033,116,EM
42,624,EM RIO GRANDE DO SUL,ENGENHO DE DENTRO,"RUA ADOLFO BERGAMINI,",-22.90034,-43.29594,201,EM
43,157,E.M. SARMIENTO,ENGENHO NOVO,RUA VINTE QUATRO DE MAIO,-22.90303,-43.26788,931,EM
44,020,EM TAGORE,PIEDADE,PRACA FREDERICO DUVAL,-22.88766,-43.30246,S/NO,EM
45,117,CIEP CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS,-22.89417,-43.26384,S/NO,CIEP
46,502,CIEP PATRICE LUMUMBA,DEL CASTILHO,"PRACA DA CONFEDERACAO SUICA,",-22.87835,-43.27488,S/NO,CIEP
47,351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AVENIDA DOM HELDER CAMARA,-22.88531,-43.2541,1715,CIEP
48,135,EM DOMINGOS BEBIANO,INHAUMA,ESTRUA ADHEMAR BEBIANO,-22.87389,-43.27771,1870,EM
49,388,EM CARDEAL CAMARA,PARADA DE LUCAS,"RUA ANAMA,",-22.81527,-43.30356,98,EM
50,440,EM JOAQUIM RIBEIRO,INHAUMA,PRACA SOLDADO COSME DOS SANTOS,-22.87757,-43.28562,28,EM
51,259,EM PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA,-22.88417,-43.26262,579,EM
52,422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AVENIDA DOS DEMOCRATICOS,-22.88098,-43.25324,268,EM
53,041,EM ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO.,-22.80944,-43.32629,S/NO,EM
54,537,EM ARY QUINTELLA,PENHA CIRCULAR,RUA ENG. MOREIRA LIMA,-22.83941,-43.30006,54,EM
55,230,EM BERLIM,OLARIA,PRACA RAMOS FIGUEIRA,-22.84779,-43.26144,20,EM
56,379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES,",-22.89557,-43.5705,S/N,CIEP
57,089,EM MARIO CLAUDIO,RIO COMPRIDO,"RUA HADDOCK LOBO,",-22.91723,-43.21104,148,EM
58,146,EM BERNARDO VASCONCELOS,PENHA,"PRACA SANTA ROSALIA,",-22.84562,-43.284,100,EM
59,566,EM BRANT HORTA,PENHA CIRCULAR,"RUA BENTO CARDOSO,",-22.83566,-43.28815,130,EM
60,388,EM CARDEAL CAMARA,PARADA DE LUCAS,"RUA ANAMA,",-22.81527,-43.30356,98,EM
61,498,EM CHILE,OLARIA,PRACA BELMONTE,-22.84858,-43.26858,15,EM
62,663,EM CIENTISTA MARIO KROEFF,PENHA,"RUA DO COUTO,",-22.83896,-43.27517,91,EM
63,121,EM DILERMANDO CRUZ,RAMOS,"AVENIDA TEIXEIRA DE CASTRO,",-22.85386,-43.25245,407,EM
64,161,E.M JOAO DE DEUS,PENHA CIRCULAR,PRACA ALMEIDA GARRET,-22.82994,-43.2821,S/NO,EM
65,263,EM PADRE MANUEL DE NOBREGA,VIGARIO GERAL,"PRACA ELBA,",-22.85713,-43.26416,1215,EM
66,118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,BONSUCESSO,RUA PRINCIPAL,-22.85782,-43.24045,S/N.O,CIEP
67,140,EM PEDRO LESSA,BONSUCESSO,"RUA ADAIL,",-22.86047,-43.25428,49,EM
68,260,EM PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AVENIDA BRASIL 4040 RUA DA,-22.87373,-43.24071,VITORIA,EM
69,069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,-22.87608,-43.34336,401,EM
70,090,EM THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR,-22.81631,-43.34014,S/NO,EM
71,274,EM ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA,-22.80769,-43.18155,1386,EM
72,676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,"RUA SERENATA,",-22.81244,-43.20965,40,EM
73,390,E.M. ANDREA FONTES PEIXOTO,PARQUE COLUMBIA,RUA FAUSTO E CASTRO,-22.81631,-43.34014,S/NO,EM
74,608,EM GRANDJEAN DE MONTIGNY,PAVUNA,"PRACA DOS UCRANIANOS,",-22.81389,-43.37392,S/NO,EM
75,589,EM MARIO PIRAGIBE,ANCHIETA,"PRACA NOSSA SENHORA DAS DORES,",-22.82558,-43.39207,S/NO,EM
76,256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO,-22.82636,-43.40288,4.035,EM
77,091,E.M. PIAUI,GUADALUPE,AVENIDA BRASIL,-22.84541,-43.37852,23.364,EM
78,090,EM THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR,-22.81631,-43.34014,S/NO,EM
79,248,E.M. ASPIRANTE CARLOS ALFREDO,TURIACU,RUA IBIA,-22.86084,-43.34455,105,EM
80,069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,-22.87608,-43.34336,401,EM
81,623,EM CECILIA MEIRELES,VILA KOSMOS,"RUA SD. SERVINO MENGARDA,",-22.84944,-43.30378,260,EM
82,603,EM ESPIRITO SANTO,CAVALCANTI,"RUA HERCULANO PENA,",-22.87429,-43.31471,S/N,EM
83,673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,"AVENIDA BRAZ DE PINA,",-22.83783,-43.31253,1614,EM
84,089,EM MARIO CLAUDIO,RIO COMPRIDO,"RUA HADDOCK LOBO,",-22.91723,-43.21104,148,EM
85,520,EM BARONESA DE SAAVEDRA,REALENGO,"RUA MAL. BIBIANO COSTALAT,",-22.87185,-43.43243,483-639,EM
86,412,EM MOZART LAGO,OSWALDO CRUZ,RUA JOSE CARVALHO SALGADO,-22.87221,-43.35033,S/N.O,EM
87,031,E.M. PARA,ROCHA MIRANDA,AVENIDA DOS ITALIANOS,-22.85196,-43.34949,500,EM
88,514,EM PARANA,CASCADURA,AVENIDA ERNANI CARDOSO,-22.8824,-43.33811,316,EM
89,023,EM CERVANTES,BENTO RIBEIRO,RUA ABILIO DOS SANTOS,-22.86459,-43.36595,170,EM
90,415,ESCOLA MUNICIPAL LUIZ DE CAMOES,COLEGIO,"ESTRUA LUIZDE CAMOES,",-22.84604,-43.33866,1446,EM
91,016,CIEP JOAO BATISTA DOS SANTOS,CIDADE DE DEUS,"RUA EDGAR WERNECK,",-22.9471,-43.35973,1.565,CIEP
92,570,EM HELENA LOPES ABRANCHES,GARDENIA AZUL,RUA ACAPORI,-22.96072,-43.35343,495,EM
93,528,CIEP MARGARET MEE,RECREIO,RUA MINISTRO ALIOMAR BALEEIRO,-23.01981,-43.48172,S/NO,CIEP
94,414,EM CLAUDIO BESSERMAN VIANNA - BUSSUNDA,RIO DAS PEDRAS,ESTRADA DE JACAREPAGUA,-22.97335,-43.32915,3327,EM
95,690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,RUA,-22.97198,-43.41011,IGARAPE-ACU,EM
